Proyecto;Tipo;Capacidad;Departamento;Municipio;Código Departamento;Código Municipio;Fecha estimada FPO;Energía [kWh/día];Usuarios;Inversión estimada [COP];Empleos estimados;Emisiones CO2 [Ton/año]
CORONA SOPO;Solar;4;CUNDINAMARCA;SOPÓ;25;25758;2023-01-29T00:00:00.000;19.2;3,329; 15.000.000.000,00 ;28;5,606
CORONA MADRID;Solar;4;CUNDINAMARCA;MADRID;25;25430;2023-01-29T00:00:00.000;19.2;3,329; 15.000.000.000,00 ;28;5,606
ETERNIT SOACHA;Solar;0.94;CUNDINAMARCA;SOACHA;25;25754;2023-01-29T00:00:00.000;4.512;782; 3.525.000.000,00 ;7;1,318
CLUB LAGARTOS;Solar;0.1;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2023-01-29T00:00:00.000;480;83; 375.000.000,00 ;1;140
GASEOSAS LUX;Solar;1.8;BOGOTÁ D.C.;BOGOTÁ D.C.;11;11001;2023-01-29T00:00:00.000;8.64;1,498; 6.750.000.000,00 ;13;2,523
CENTRAL CERVECERA SESQUILÉ;Solar;3.5;CUNDINAMARCA;SESQUILÉ;25;25736;2023-01-29T00:00:00.000;16.8;2,913; 13.125.000.000,00 ;24;4,906
CARVAJAL GINEBRA;Solar;4.15;VALLE DEL CAUCA;GINEBRA;76;76306;2023-01-29T00:00:00.000;19.92;3,454; 15.562.500.000,00 ;29;5,817
ÉXITO CALI;Solar;0.61;VALLE DEL CAUCA;CALI;76;76001;2023-01-29T00:00:00.000;2.928;508; 2.287.500.000,00 ;4;855
ÉXITO POPAYÁN;Solar;0.3;CAUCA;POPAYÁN;19;19001;2023-01-29T00:00:00.000;1.44;250; 1.125.000.000,00 ;2;420
POSTOBON MALAMBO;Solar;5.5;ATLÁNTICO;MALAMBO;8;8433;2023-01-29T00:00:00.000;26.4;4,578; 20.625.000.000,00 ;38;7,709
HIPINTO PIEDECUESTA;Solar;1.3;SANTANDER;PIEDECUESTA;68;68547;2023-01-29T00:00:00.000;6.24;1,082; 4.875.000.000,00 ;9;1,822
WINDPESHI;Eólico;195.03;LA GUAJIRA;MAICAO;44;44430;2024-01-01T00:00:00.000;1.872.288;324,674; 731.363.000.000,00 ;542;546,708
SOL DE GAMARRITA 1-3;Solar;45;CESAR;AGUACHICA;20;20011;2023-02-09T00:00:00.000;216;37,457; 168.750.000.000,00 ;313;63,072
CASA ELÉCTRICA (AES);Eólico;176.3;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;1.692.480;293,494; 661.125.000.000,00 ;490;494,204
APOTOLORRU (AES);Eólico;75;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;720;124,855; 281.250.000.000,00 ;209;210,24
PV LA MATA;Solar;80;CESAR;LA GLORIA;20;20383;2023-12-31T00:00:00.000;384;66,59; 344.000.000.000,00 ;557;112,128
PV LA UNIÓN;Solar;100;CÓRDOBA;MONTERÍA;23;23001;2023-12-31T00:00:00.000;480;83,237; 375.000.000.000,00 ;696;140,16
PÉTALO DEL CESAR II;Solar;19.9;NORTE DE SANTANDER;LA ESPERANZA;54;54385;2024-02-29T00:00:00.000;95.52;16,564; 74.625.000.000,00 ;139;27,892
PÉTALO DEL CESAR I;Solar;9.9;CESAR;CHIRIGUANÁ;20;20178;2024-02-29T00:00:00.000;47.52;8,24; 37.125.000.000,00 ;69;13,876
SEBASTOSOL;Solar;700;SANTANDER;CIMITARRA;68;68190;2023-12-31T00:00:00.000;3.360.000;582,659; 2.625.000.000.000,00 ;4,872;981,12
BOSQUES SOLARES DE BOLÍVAR (5X19.9);Solar;99.5;ATLÁNTICO;SABANALARGA;8;8638;2023-12-31T00:00:00.000;477.6;82,821; 373.125.000.000,00 ;693;139,459
AQUASOL;Solar;1.5;CÓRDOBA;"""""";23;23;2022-10-31T00:00:00.000;7.2;1,249; 5.625.000.000,00 ;10;2,102
CARACOLÍ I;Solar;50;ATLÁNTICO;MALAMBO;8;8433;2023-08-31T00:00:00.000;240;41,618; 187.500.000.000,00 ;348;70,08
PARQUE EÓLICO VIENTOS DE GALERAZAMBA;Eólico;9.9;BOLÍVAR;SANTA CATALINA;13;13673;2024-01-01T00:00:00.000;95.04;16,481; 37.125.000.000,00 ;28;27,752
GUAYEPO FASE II;Solar;200;ATLÁNTICO;SABANALARGA;8;8638;2023-12-31T00:00:00.000;960;166,474; 750.000.000.000,00 ;1,392;280,32
SIERRA;Solar;200;ANTIOQUIA;PUERTO NARE;5;5585;2023-05-12T00:00:00.000;960;166,474; 750.000.000.000,00 ;1,392;280,32
TEPUY;Solar;83;CALDAS;LA DORADA;17;17380;2023-07-31T00:00:00.000;398.4;69,087; 311.250.000.000,00 ;578;116,333
SHANGRI-LA;Solar;160;TOLIMA;IBAGUÉ;73;73001;2023-06-30T00:00:00.000;768;133,179; 600.000.000.000,00 ;1,114;224,256
CHEMESKY (ENEL GREEN POWER);Eólico;98.85;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;948.96;164,56; 370.688.000.000,00 ;275;277,096
PUERTA DE ORO Fase 2;Solar;180;CUNDINAMARCA;GUADUAS;25;25320;2999-12-31T00:00:00.000;864;149,827; 675.000.000.000,00 ;1,253;252,288
ACACIAS 2 (CELSIA);Eólico;80;LA GUAJIRA;MAICAO;44;44430;2023-11-01T00:00:00.000;768;133,179; 300.000.000.000,00 ;222;224,256
TUMAWIND (ENEL GREEN POWER);Eólico;197.77;LA GUAJIRA;URIBIA;44;44847;2024-01-01T00:00:00.000;1.898.592;329,236; 741.638.000.000,00 ;550;554,389
CAMELIA (CELSIA);Eólico;250;LA GUAJIRA;URIBIA;44;44847;2023-12-01T00:00:00.000;2.400.000;416,185; 937.500.000.000,00 ;695;700,8
ESCOBAL 1 AL 5;Solar;99.5;TOLIMA;ALVARADO;73;73026;2023-12-31T00:00:00.000;477.6;82,821; 373.125.000.000,00 ;693;139,459
Parque Fotovoltaico Sunnorte;Solar;35;NORTE DE SANTANDER;"""""";54;54;2023-12-31T00:00:00.000;168;29,133; 131.250.000.000,00 ;244;49,056
